timestamp,simulation_time,total_vehicles,average_waiting_time,total_queue_length,north_vehicles,south_vehicles,east_vehicles,west_vehicles,north_pressure,south_pressure,east_pressure,west_pressure,current_phase,controller_mode,emergency_active
1770028169.5326548,0.9,12,0.0,0,3,3,3,3,3.0,3.0,3.0,3.0,0,adaptive,False
1770028169.8536167,1.9,17,0.0,0,4,4,4,5,4.0,4.0,4.0,5.0,0,adaptive,False
1770028170.1777973,2.9,20,0.0,0,5,5,5,5,5.0,5.0,5.0,5.0,0,adaptive,False
1770028170.494483,3.9,22,0.0,0,5,5,6,6,5.0,5.0,6.0,6.0,0,adaptive,False
1770028170.812209,4.9,23,0.0,0,6,5,6,6,6.0,5.0,6.0,6.0,0,adaptive,False
1770028171.1404595,5.9,28,0.0,0,6,6,8,8,6.0,6.0,8.0,8.0,0,adaptive,False
1770028171.4538565,6.9,32,0.0,0,9,6,8,9,9.0,6.0,8.0,9.0,0,adaptive,False
1770028171.787508,7.9,37,0.0,0,9,8,10,10,9.0,8.0,10.0,10.0,0,adaptive,False
1770028172.1078525,8.9,37,0.0,0,9,8,10,10,9.0,8.0,10.0,10.0,0,adaptive,False
1770028172.4429092,9.9,41,0.0,0,10,9,11,11,10.0,9.0,11.0,11.0,0,adaptive,False
1770028172.801145,10.9,44,0.0,0,10,10,13,11,10.0,10.0,13.0,11.0,0,adaptive,False
1770028173.1512828,11.9,47,0.0,0,11,10,13,13,11.0,10.0,13.0,13.0,0,adaptive,False
1770028173.5355449,12.9,53,0.0,0,13,11,14,15,13.0,11.0,14.0,15.0,0,adaptive,False
1770028173.9358673,13.9,57,0.0,0,14,11,16,16,14.0,11.0,16.0,16.0,0,adaptive,False
1770028174.3429558,14.9,58,0.0,0,14,11,17,16,14.0,11.0,17.0,16.0,0,adaptive,False
1770028174.8152366,15.9,63,0.0,0,15,13,18,17,15.0,13.0,18.0,17.0,0,adaptive,False
1770028175.2205858,16.9,66,0.0,0,15,13,19,19,15.0,13.0,19.0,19.0,0,adaptive,False
1770028175.6830618,17.9,66,0.0,0,15,13,19,19,15.0,13.0,19.0,19.0,0,adaptive,False
1770028176.1512825,18.9,73,0.0,0,18,15,20,20,18.0,15.0,20.0,20.0,0,adaptive,False
1770028176.5941758,19.9,76,0.0,0,19,15,21,21,19.0,15.0,21.0,21.0,0,adaptive,False
1770028177.1014745,20.9,81,0.0,0,20,16,23,22,20.0,16.0,23.0,22.0,0,adaptive,False
1770028177.510728,21.9,82,0.0,0,20,16,24,22,20.0,16.0,24.0,22.0,0,adaptive,False
1770028177.9716752,22.9,88,0.0,0,21,18,25,24,21.0,18.0,25.0,24.0,0,adaptive,False
1770028178.3354406,23.9,90,0.0,0,21,19,26,24,21.0,19.0,26.0,24.0,0,adaptive,False
1770028178.7030072,24.9,94,0.0,0,24,19,26,25,24.0,19.0,26.0,25.0,0,adaptive,False
1770028179.1328576,25.9,98,0.0,0,24,20,27,27,24.0,20.0,27.0,27.0,0,adaptive,False
1770028179.4508958,26.9,99,0.00707070707070707,1,24,20,27,28,24.0,20.0,27.0,28.07,0,adaptive,False
